id,code,name,type_code,status
1,001A,书记,001,Y
2,001B,副书记,001,Y
3,001C,第一书记,001,N
4,001D,第二书记,001,N
5,001E,第三书记,001,N
6,001P,候补书记,001,N
7,002A,委员,002,N
8,002K,常务委员,002,N
9,002P,候补委员,002,N
10,002S,主任委员,002,N
11,002T,副主任委员,002,N
12,004A,主任,004,Y
13,004B,副主任,004,Y
14,004J,主任助理,004,N
15,004W,工会主任,004,N
16,005A,顾问,005,N
17,010A,巡视员,010,Y
18,010B,副巡视员,010,Y
19,010J,助理巡视员,010,N
20,011A,调研员,011,Y
21,011B,副调研员,011,Y
22,011J,助理调研员,011,N
23,012A,督导员,012,N
24,014A,监察员,014,N
25,015A,纪检员,015,Y
26,015W,纪检组长,015,Y
27,016A,审计员,016,N
28,017A,组织员,017,N
29,020A,书记员,020,N
30,020Z,聘任制书记员,020,N
31,083Q,总工程师,083,N
32,083R,副总工程师,083,N
33,083S,主任工程师,083,N
34,093Q,总农艺师,093,N
35,093R,副总农艺师,093,N
36,101A,委员长,101,N
37,101B,副委员长,101,N
38,102A,秘书长,102,N
39,102B,副秘书长,102,N
40,102J,秘书长助理,102,N
41,103Q,总兽医师,103,N
42,103R,副总兽医师,103,N
43,104A,秘书,104,N
44,105A,检察长,105,N
45,105B,副检察长,105,N
46,106A,检察员,106,N
47,106B,助理检察员,106,N
48,107A,审判长,107,N
49,107B,副审判长,107,N
50,107J,审判长助理,107,N
51,108A,审判员,108,N
52,108J,助理审判员,108,N
53,109A,庭长,109,N
54,109B,副庭长,109,N
55,109J,庭长助理,109,N
56,113Q,总畜牧师,113,N
57,113R,副总畜牧师,113,N
58,123Q,总经济师,123,N
59,123R,副总经济师,123,N
60,133Q,总会计师,133,N
61,133R,副总会计师,133,N
62,143Q,总统计师,143,N
63,143R,副总统计师,143,N
64,153Q,总编辑,153,N
65,153R,副总编辑,153,N
66,163Q,总稽核,163,N
67,201A,主席,201,N
68,201B,副主席,201,N
69,201F,第一副主席,201,N
70,201M,名誉主席,201,N
71,211A,部长,211,N
72,211B,副部长,211,N
73,211J,部长助理,211,N
74,214A,署长,214,N
75,214B,副署长,214,N
76,214J,署长助理,214,N
77,215A,关长,215,N
78,215B,副关长,215,N
79,215J,关长助理,215,N
80,216A,局长,216,N
81,216B,副局长,216,N
82,216J,局长助理,216,N
83,217A,厅长,217,N
84,217B,副厅长,217,N
85,217J,厅长助理,217,N
86,219A,处长,219,Y
87,219B,副处长,219,Y
88,219J,处长助理,219,N
89,220A,科长,220,Y
90,220B,副科长,220,Y
91,220J,科长助理,220,Y
92,221A,科员,221,Y
93,221S,主任科员,221,Y
94,221T,副主任科员,221,Y
95,222A,股长,222,N
96,222B,副股长,222,N
97,224A,办事员,224,Y
98,244Q,总医药师,244,N
99,244R,副总医药师,244,N
100,251A,省长,251,N
101,251B,副省长,251,N
102,251J,省长助理,251,N
103,251Y,代省长,251,N
104,252A,市长,252,N
105,252B,副市长,252,N
106,252J,市长助理,252,N
107,252Y,代市长,252,N
108,255A,区长,255,N
109,255B,副区长,255,N
110,255J,区长助理,255,N
111,255Y,代区长,255,N
112,257A,专员,257,N
113,257B,副专员,257,N
114,258A,县长,258,N
115,258B,副县长,258,N
116,258J,县长助理,258,N
117,258Y,代县长,258,N
118,260A,镇长,260,N
119,260B,副镇长,260,N
120,260J,镇长助理,260,N
121,260Y,代镇长,260,N
122,261A,乡长,261,N
123,261B,副乡长,261,N
124,261J,乡长助理,261,N
