id,major_code,sort,category,name,parent_id
1,01,哲学,,,
2,0101,哲学,哲学类,,1
3,010101,哲学,哲学类,哲学,2
4,010102,哲学,哲学类,逻辑学,2
5,010103,哲学,哲学类,伦理学,2
6,010104,哲学,哲学类,宗教学,2
7,010151,哲学,哲学类,应用美学,2
8,010152,哲学,哲学类,宗教事务管理,2
9,010199,哲学,哲学类,哲学类其他专业,2
10,0102,哲学,马克思主义理论学,,1
11,010201,哲学,马克思主义理论学,马克思主义基础,10
12,010202,哲学,马克思主义理论学,国际共产主义运动,10
13,010203,哲学,马克思主义理论学,中国共产党党史,10
14,010204,哲学,马克思主义理论学,中国革命史,10
15,010205,哲学,马克思主义理论学,中国社会主义建设,10
16,010206,哲学,马克思主义理论学,科学社会主义,10
17,010299,哲学,马克思主义理论学,马克思主义理论类其他专业,10
18,02,经济学,,,
19,0201,经济学,经济学类,,18
20,020101,经济学,经济学类,经济学,19
21,020102,经济学,经济学类,国民经济管理,19
22,020103,经济学,经济学类,统计学,19
23,020104,经济学,经济学类,财政学,19
24,020105,经济学,经济学类,货币银行学,19
25,020106,经济学,经济学类,国际经济,19
26,020107,经济学,经济学类,农业经济,19
27,020108,经济学,经济学类,工业经济,19
28,020109,经济学,经济学类,贸易经济,19
29,020110,经济学,经济学类,运输经济,19
30,020111,经济学,经济学类,劳动经济,19
31,020112,经济学,经济学类,国际金融,19
32,020113,经济学,经济学类,国际贸易,19
33,020114,经济学,经济学类,税务,19
34,020115,经济学,经济学类,审计学,19
35,020116,经济学,经济学类,保险,19
36,020117,经济学,经济学类,投资经济,19
37,020118,经济学,经济学类,工商行政管理,19
38,020119,经济学,经济学类,土地管理,19
39,020151,经济学,经济学类,投资经济管理,19
40,020152,经济学,经济学类,财政学,19
41,020153,经济学,经济学类,金融,19
42,020154,经济学,经济学类,审计,19
43,020155,经济学,经济学类,统计,19
44,020156,经济学,经济学类,财产管理,19
45,020157,经济学,经济学类,证券投资与管理,19
46,020199,经济学,经济学类,经济学类其他专业,19
47,0202,经济学,工商管理学,,18
48,020201,经济学,工商管理学,企业管理,47
49,020202,经济学,工商管理学,国际企业管理,47
50,020203,经济学,工商管理学,会计学,47
51,020204,经济学,工商管理学,理财学,47
52,020205,经济学,工商管理学,市场管理,47
53,020206,经济学,工商管理学,经济信息管理,47
54,020207,经济学,工商管理学,人力资源管理,47
55,020208,经济学,工商管理学,房地产经营管理,47
56,020209,经济学,工商管理学,旅游管理,47
57,020210,经济学,工商管理学,物流管理,47
58,020211,经济学,工商管理学,海关管理,47
59,020212,经济学,工商管理学,商品学,47
60,020213,经济学,工商管理学,资产评估,47
61,020214,经济学,工商管理学,工商管理,47
62,020215,经济学,工商管理学,国际商务,47
