id,code,name,type_code,status
1,101,副总理及以上领导人,1,Y
2,102,省长及相当者,1,Y
3,103,副省长及相当者,1,Y
4,104,15个副省级市市长,1,Y
5,105,厅（局）长及相当者,1,Y
6,106,副厅（局）长及相当者,1,Y
7,107,处长及相当者,1,Y
8,108,副处长及相当者,1,Y
9,109,科长、主任科员及相当者,1,Y
10,110,副科长、主任科员及相当者,1,Y
11,111,科员,1,Y
12,112,办事员,1,Y
13,113,其他人员（见习、试用期）,1,Y
14,201,部级正职,2,Y
15,202,部级副职,2,Y
16,203,局级正职,2,Y
17,204,局级副职,2,Y
18,205,处级正职,2,Y
19,206,处级副职,2,Y
20,207,科级正职,2,Y
21,208,科级副职,2,Y
22,209,科员,2,Y
23,210,办事员,2,Y
24,211,其他人员（见习、试用期）,2,Y
25,301,一级行员,3,N
26,302,二级行员,3,N
27,303,三级行员,3,N
28,304,四级行员,3,N
29,305,五级行员,3,N
30,306,六级行员,3,N
31,307,七级行员,3,N
32,308,其他人员（见习、试用期）,3,N
33,41101,1研究员,41,N
34,41202,2副研究员,41,N
35,41303,3助理研究员,41,N
36,41404,4研究实习员,41,N
37,41909,5其他人员（见习、试用期）,41,N
38,42101,1教授,42,N
39,42202,2副教授,42,N
40,42303,3讲师,42,N
41,42404,4助教,42,N
42,42909,5其他人员（见习、试用期）,42,N
43,43102,1高级讲师、中学高级教师,43,N
44,43203,2讲师、中学一级教师、小学高级教师,43,N
45,43304,3助理讲师、中学二级教师、小学一级教师,43,N
46,43405,4教员、中学三级教师、小学二级教师,43,N
47,43506,5小学三级教师,43,N
48,43909,6其他人员（见习、试用期）,43,N
49,44101,1主任、医、护、药、技师,44,N
50,44202,2副主任、医、护、药、技师,44,N
51,44303,3主治医（主管护、药、技）师,44,N
52,44404,4医、护、药、技师,44,N
53,44505,5医、护、药、技士,44,N
54,44909,6其他人员（见习、试用期）,44,N
55,45102,1高级工程师,45,N
56,45203,2工程师,45,N
57,45304,3助理工程师,45,N
58,45405,4技术员,45,N
59,45909,5其他人员（见习、试用期）,45,N
60,46101,1相当教授级职务的,46,N
61,46202,2相当副教授级职务的,46,N
62,46303,3相当讲师级职务的,46,N
63,46404,4相当助教级职务的,46,N
64,46505,5相当教员级职务的,46,N
65,46909,6其他人员（见习、试用期）,46,N
66,499,运动员,49,N
67,-1,其他,-1,N
